2015-07-09 07:28:47 | 192.168.0.1 | /index.php/index/login | index-login-1 | 1436398127 | {"ident":"oauthlogin","response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/index/login | index-login-2 | 1436398127 | {"ident":"oauthlogin","response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/index/login | index-login-3 | 1436398127 | {"ident":"oauthlogin","response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-07-09 07:28:47 | 192.168.0.1 | /index.php/index/login | index-login-4 | 1436398127 | {"ident":"oauthlogin","response_type":"code","client_id":"80002001","redirect_uri":"http:\/\/dev.dbowner.com\/account\/ReCall","oa_tpl":"web_wide","apppermissions":"","_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login.html | index-login-1 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login.html | index-login-2 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login.html | index-login-3 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login.html | index-login-4 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login | index-login-1 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login | index-login-2 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login | index-login-3 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:41 | 192.168.0.1 | /index.php/index/login | index-login-4 | 1436398181 | {"_module":"index","_action":"login"}
2015-07-09 07:29:42 | 192.168.0.1 | /index.php/index/login | index-login-1 | 1436398182 | {"_module":"index","_action":"login"}
2015-07-09 07:29:42 | 192.168.0.1 | /index.php/index/login | index-login-2 | 1436398182 | {"_module":"index","_action":"login"}
2015-07-09 07:29:42 | 192.168.0.1 | /index.php/index/login | index-login-3 | 1436398182 | {"_module":"index","_action":"login"}
2015-07-09 07:29:42 | 192.168.0.1 | /index.php/index/login | index-login-4 | 1436398182 | {"_module":"index","_action":"login"}
2015-07-09 07:55:10 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-1 | 1436399710 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:55:10 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-2 | 1436399710 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-07-09 07:55:10 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1436399710 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
