2015-10-20 07:14:30 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1445296470 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 07:55:58 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-1 | 1445298958 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 07:55:58 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-2 | 1445298958 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 07:55:58 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1445298958 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 07:55:58 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1445298958 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 08:46:01 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-1 | 1445301961 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 08:46:01 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-2 | 1445301961 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 08:46:01 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1445301961 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 08:46:01 | 192.168.0.1 | /index.php/oauth/authorize | oauth-authorize-8 | 1445301961 | {"client_id":"app13","redirect_uri":"http:\/\/open.dbowner.com\/index\/callback.html","response_type":"code","scope":"code","display":"mobile","_module":"oauth","_action":"authorize"}
2015-10-20 08:53:17 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-1 | 1445302397 | {"client_id":"app31","redirect_uri":"http:\/\/winedata.yannyo.com\/login\/callback","response_type":"code","oa_tpl":"web_narrow","_module":"oauth","_action":"authorize"}
2015-10-20 08:53:17 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-2 | 1445302397 | {"client_id":"app31","redirect_uri":"http:\/\/winedata.yannyo.com\/login\/callback","response_type":"code","oa_tpl":"web_narrow","_module":"oauth","_action":"authorize"}
2015-10-20 08:53:17 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-8-pre | 1445302397 | {"client_id":"app31","redirect_uri":"http:\/\/winedata.yannyo.com\/login\/callback","response_type":"code","oa_tpl":"web_narrow","_module":"oauth","_action":"authorize"}
2015-10-20 08:53:17 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-8 | 1445302397 | {"client_id":"app31","redirect_uri":"http:\/\/winedata.yannyo.com\/login\/callback","response_type":"code","oa_tpl":"web_narrow","_module":"oauth","_action":"authorize"}
2015-10-20 08:53:17 | 218.106.146.80 | /index.php/oauth/authorize | oauth-authorize-4 | 1445302397 | {"client_id":"app31","redirect_uri":"http:\/\/winedata.yannyo.com\/login\/callback","response_type":"code","oa_tpl":"web_narrow","_module":"oauth","_action":"authorize"}
